Ana Kategori	Alt Kategori	Alt?n Alt Kategori	Kategori Komisyon % (KDV Dahil)
Bahçe & Elektrikli El Aletleri	Elektrikli El Aletleri	El Aletleri, Elektrikli El Aletleri ve Aksesuarları, Manuel El Aletleri, Akülü Vidalama, Matkaplar	16.5%
Bahçe & Elektrikli El Aletleri	Elektrikli El Aletleri	El Aletleri, Elektrikli El Aletleri ve Aksesuarları, Manuel El Aletleri, Akülü Vidalama, Matkaplar	16.5%
Bahçe & Elektrikli El Aletleri	Elektrikli El Aletleri	El Aletleri, Elektrikli El Aletleri ve Aksesuarları, Manuel El Aletleri, Akülü Vidalama, Matkaplar	16.5%
Bahçe & Elektrikli El Aletleri	Elektrikli El Aletleri	Tilki Kuyruğu, Kaldırma Ekipmanları	16.5%
Bahçe & Elektrikli El Aletleri	Elektrikli El Aletleri	Tilki Kuyruğu, Kaldırma Ekipmanları	16.5%
Bahçe & Elektrikli El Aletleri	Elektrikli El Aletleri	Tilki Kuyruğu, Kaldırma Ekipmanları	16.5%
Bahçe & Elektrikli El Aletleri	Enerji Sistemleri	Güneş Paneli ve Sistemleri, Rüzgar Türbini	16.5%
Bahçe & Elektrikli El Aletleri	Enerji Sistemleri	Güneş Paneli ve Sistemleri, Rüzgar Türbini	16.5%
Bahçe & Elektrikli El Aletleri	Enerji Sistemleri	Jenaratör	16%
Bahçe & Elektrikli El Aletleri	Enerji Sistemleri	Jenaratör	16%
Bahçe ve Yapı Market	Yapı Market	Hırdavat ve İnşaat Malzemeleri, Kutu Ambalaj Malzemeleri, Sinek Perdeleri, Yapıştırıcı ve Bantlar	20%
Banyo Yapı & Hırdavat	Banyo Yapı Malzemeleri	Banyo Bataryası, Banyo Yapı Malzemeleri, Duş Sistemleri, Eviye, Lavabo, Lavabo Bataryası	18%
Banyo Yapı & Hırdavat	Banyo Yapı Malzemeleri	Banyo Bataryası, Banyo Yapı Malzemeleri, Duş Sistemleri, Eviye, Lavabo, Lavabo Bataryası	18%
Banyo Yapı & Hırdavat	Banyo Yapı Malzemeleri	Klozet	18%
Banyo Yapı & Hırdavat	Banyo Yapı Malzemeleri	Su Arıtma	16%
Banyo Yapı & Hırdavat	Banyo Yapı Malzemeleri	Su Arıtma	16%
Banyo Yapı & Hırdavat	Boya	Boya & Boya Malzemeleri	19.5%
Banyo Yapı & Hırdavat	Elektrik & Tesisat Malzemeleri	Ampul	20%
Banyo Yapı & Hırdavat	Elektrik & Tesisat Malzemeleri	Elektrik ve Aydınlatma	20%
Banyo Yapı & Hırdavat	Elektrik & Tesisat Malzemeleri	Güvenlik Ürünleri	21%
Banyo Yapı & Hırdavat	Elektrik & Tesisat Malzemeleri	Para Kasaları	20%
Banyo Yapı & Hırdavat	Hırdavat	El Aletleri, Elektrikli El Aletleri ve Aksesuarları, Manuel El Aletleri, Akülü Vidalama, Matkaplar	16.5%
Banyo Yapı & Hırdavat	Hırdavat	El Aletleri, Elektrikli El Aletleri ve Aksesuarları, Manuel El Aletleri, Akülü Vidalama, Matkaplar	16.5%
Banyo Yapı & Hırdavat	Hırdavat	El Aletleri, Elektrikli El Aletleri ve Aksesuarları, Manuel El Aletleri, Akülü Vidalama, Matkaplar	16.5%
Banyo Yapı & Hırdavat	Hırdavat	Ev Kapıları	21%
Banyo Yapı & Hırdavat	Hırdavat	Hırdavat ve İnşaat Malzemeleri, Kutu Ambalaj Malzemeleri, Sinek Perdeleri, Yapıştırıcı ve Bantlar	20%
Banyo Yapı & Hırdavat	Hırdavat	Isınma & Soğutma Sistemi, Oda Termostatı	14%
Banyo Yapı & Hırdavat	Hırdavat	İş Ayakkabısı&Çizmesi , İş Güvenliği Elbisesi	20.5%
Banyo Yapı & Hırdavat	Hırdavat	İş Kıyafetleri	20.5%
Banyo Yapı & Hırdavat	Hırdavat	İş Kıyafetleri	20.5%
Banyo Yapı & Hırdavat	Hırdavat	Tavan Vantilatörü, Tavan Vantilatörü Aksesuarları, Sanayi Tipi Fanlar	18%
Dijital Kod & Ürünler	Dijital Kart & Kupon & Hizmetler	Dijital Kart & Kupon & Hizmetler	11%
Dijital Kod & Ürünler	Dijital Kod & Ürünler	Dijital Abonelik, Kargo Hizmeti, Ön Ödemeli Kartlar, Online Eğitim	11%
